stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\felipe.msilveira1\source\repos\Exult\x64\Debug\allegro5.cfg r
display  D   display_settings.c:214  debug_display_settings           [   0.12658] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12667] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.12675] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12688] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.12698] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12712] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.12724] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12734] Score is : 714
display  D   display_settings.c:214  debug_display_settings           [   0.12743] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12754] Score is : 713
display  D   display_settings.c:214  debug_display_settings           [   0.12764] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12774] Score is : 712
display  D   display_settings.c:214  debug_display_settings           [   0.12784] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.12793] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.12803] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.12814] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.12824] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12835] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.12845] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12857] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.12867] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12878] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.12889] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12900] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.12910] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12920] Score is : 714
display  D   display_settings.c:214  debug_display_settings           [   0.12929] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12939] Score is : 713
display  D   display_settings.c:214  debug_display_settings           [   0.12949] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12960] Score is : 712
display  D   display_settings.c:214  debug_display_settings           [   0.12971] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.12981] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.12989] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.13000] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.13010] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13020] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.13029] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13040] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.13051] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13061] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.13071] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13082] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.13092] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13103] Score is : 714
display  D   display_settings.c:214  debug_display_settings           [   0.13113] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13124] Score is : 713
display  D   display_settings.c:214  debug_display_settings           [   0.13134] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13144] Score is : 712
display  D   display_settings.c:214  debug_display_settings           [   0.13154] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.13164] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.13173] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.13183] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.13193] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13203] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.13213] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13223] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.13232] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13243] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.13251] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13265] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.13274] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13283] Score is : 714
display  D   display_settings.c:214  debug_display_settings           [   0.13296] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13309] Score is : 713
display  D   display_settings.c:214  debug_display_settings           [   0.13322] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13333] Score is : 712
display  D   display_settings.c:214  debug_display_settings           [   0.13344] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.13356] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.13366] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.13378] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.13388] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13398] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.13407] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13427] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.13438] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13450] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.13463] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13473] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.13481] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13494] Score is : 714
display  D   display_settings.c:214  debug_display_settings           [   0.13504] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13515] Score is : 713
display  D   display_settings.c:214  debug_display_settings           [   0.13528] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13539] Score is : 712
display  D   display_settings.c:214  debug_display_settings           [   0.13549] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.13560] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.13570] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.13579] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.13588] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13599] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.13608] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13618] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.13628] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13640] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.13670] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13680] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.13690] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13699] Score is : 714
display  D   display_settings.c:214  debug_display_settings           [   0.13713] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13724] Score is : 713
display  D   display_settings.c:214  debug_display_settings           [   0.13736] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13746] Score is : 712
display  D   display_settings.c:214  debug_display_settings           [   0.13756] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.13765] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13774] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.13799] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13809] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13824] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13834] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13853] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13862] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13873] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13883] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13893] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13901] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13910] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13919] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13928] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13937] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13950] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13959] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.13971] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13980] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.13991] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14004] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14013] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14022] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14033] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14044] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14056] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14066] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14075] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14084] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14093] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14103] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14119] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14132] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14145] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14157] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.14167] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14177] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.14187] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14195] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14205] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14217] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14228] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14238] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14247] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14256] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14265] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14274] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14288] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14298] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14312] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14321] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14331] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14343] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.14354] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14364] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.14375] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14384] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14394] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14404] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14415] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14426] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14437] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14448] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14459] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14471] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14481] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14491] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14500] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14509] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14518] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14527] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.14537] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14546] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.14555] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14564] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14576] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14589] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14601] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14612] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14625] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14638] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14647] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14655] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14664] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14674] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14694] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14704] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14714] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14723] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.14734] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14745] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.14757] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14768] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14779] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14790] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
